cluster,week,forecast,lo_80,hi_80,lo_95,hi_95,model,is_proportional,complexity_weight,backlog_rate,raw_workload,city_total,workload_share
1,2026-01-26,36.3,23.3,52.5,18.0,68.3,Add only,False,0.8723,0.217,38.536,69.322,0.5559
1,2026-02-02,36.4,16.2,59.2,9.5,80.2,Add only,False,0.8723,0.217,38.642,69.297,0.5576
1,2026-02-09,36.4,11.0,65.8,2.0,86.0,Add only,False,0.8723,0.217,38.642,69.394,0.5568
1,2026-02-16,36.5,7.7,74.1,0.0,99.6,Add only,False,0.8723,0.217,38.748,69.597,0.5567
1,2026-02-23,36.5,3.0,79.1,0.0,102.7,Add only,False,0.8723,0.217,38.748,69.597,0.5567
1,2026-03-02,36.5,1.1,82.3,0.0,110.1,Add only,False,0.8723,0.217,38.748,69.564,0.557
1,2026-03-09,36.6,0.0,79.6,0.0,108.3,Add only,False,0.8723,0.217,38.854,69.67,0.5577
1,2026-03-16,36.6,0.0,81.9,0.0,115.4,Add only,False,0.8723,0.217,38.854,69.766,0.5569
1,2026-03-23,36.6,0.0,83.9,0.0,120.0,Add only,False,0.8723,0.217,38.854,69.636,0.558
1,2026-03-30,36.7,0.0,84.4,0.0,119.5,Add only,False,0.8723,0.217,38.96,69.839,0.5579
1,2026-04-06,36.7,0.0,86.6,0.0,122.2,Add only,False,0.8723,0.217,38.96,69.93599999999999,0.5571
1,2026-04-13,36.7,0.0,87.1,0.0,124.4,Add only,False,0.8723,0.217,38.96,69.93599999999999,0.5571
1,2026-04-20,36.8,0.0,91.7,0.0,130.6,Add only,False,0.8723,0.217,39.066,70.00800000000001,0.558
2,2026-01-26,18.1,12.6,24.8,9.4,28.6,Add only,False,0.8065,0.2,17.517,69.322,0.2527
2,2026-02-02,18.1,9.3,27.4,6.2,33.5,Add only,False,0.8065,0.2,17.517,69.297,0.2528
2,2026-02-09,18.2,6.3,30.5,2.3,38.5,Add only,False,0.8065,0.2,17.614,69.394,0.2538
2,2026-02-16,18.3,4.6,33.0,0.0,40.8,Add only,False,0.8065,0.2,17.711,69.597,0.2545
2,2026-02-23,18.3,3.0,33.7,0.0,42.6,Add only,False,0.8065,0.2,17.711,69.597,0.2545
2,2026-03-02,18.4,2.8,33.9,0.0,43.6,Add only,False,0.8065,0.2,17.808,69.564,0.256
2,2026-03-09,18.4,1.7,35.9,0.0,44.9,Add only,False,0.8065,0.2,17.808,69.67,0.2556
2,2026-03-16,18.5,0.0,36.3,0.0,47.2,Add only,False,0.8065,0.2,17.904,69.766,0.2566
2,2026-03-23,18.5,0.0,37.3,0.0,49.7,Add only,False,0.8065,0.2,17.904,69.636,0.2571
2,2026-03-30,18.6,0.0,39.7,0.0,51.4,Add only,False,0.8065,0.2,18.001,69.839,0.2577
2,2026-04-06,18.7,0.0,41.0,0.0,52.1,Add only,False,0.8065,0.2,18.098,69.93599999999999,0.2588
2,2026-04-13,18.7,0.0,41.0,0.0,53.7,Add only,False,0.8065,0.2,18.098,69.93599999999999,0.2588
2,2026-04-20,18.8,0.0,41.3,0.0,56.1,Add only,False,0.8065,0.2,18.195,70.00800000000001,0.2599
3,2026-01-26,5.5,0.0,11.7,0.0,14.9,Add only,False,1.0444,0.248,7.169,69.322,0.1034
3,2026-02-02,5.4,0.0,14.4,0.0,19.5,Add only,False,1.0444,0.248,7.038,69.297,0.1016
3,2026-02-09,5.4,0.0,15.7,0.0,23.2,Add only,False,1.0444,0.248,7.038,69.394,0.1014
3,2026-02-16,5.4,0.0,17.7,0.0,23.4,Add only,False,1.0444,0.248,7.038,69.597,0.1011
3,2026-02-23,5.4,0.0,18.8,0.0,27.5,Add only,False,1.0444,0.248,7.038,69.597,0.1011
3,2026-03-02,5.3,0.0,22.2,0.0,28.8,Add only,False,1.0444,0.248,6.908,69.564,0.0993
3,2026-03-09,5.3,0.0,22.5,0.0,31.8,Add only,False,1.0444,0.248,6.908,69.67,0.0992
3,2026-03-16,5.3,0.0,24.3,0.0,33.4,Add only,False,1.0444,0.248,6.908,69.766,0.099
3,2026-03-23,5.2,0.0,25.3,0.0,34.3,Add only,False,1.0444,0.248,6.778,69.636,0.0973
3,2026-03-30,5.2,0.0,27.0,0.0,37.1,Add only,False,1.0444,0.248,6.778,69.839,0.0971
3,2026-04-06,5.2,0.0,26.5,0.0,38.4,Add only,False,1.0444,0.248,6.778,69.93599999999999,0.0969
3,2026-04-13,5.2,0.0,27.5,0.0,39.4,Add only,False,1.0444,0.248,6.778,69.93599999999999,0.0969
3,2026-04-20,5.1,0.0,28.0,0.0,42.1,Add only,False,1.0444,0.248,6.647,70.00800000000001,0.0949
4,2026-01-26,3.6,2.5,4.6,2.1,6.8,Proportional (Add only),True,1.2768,0.327,6.1,69.322,0.088
4,2026-02-02,3.6,1.9,5.4,1.2,6.9,Proportional (Add only),True,1.2768,0.327,6.1,69.297,0.088
4,2026-02-09,3.6,1.5,5.9,0.6,7.5,Proportional (Add only),True,1.2768,0.327,6.1,69.394,0.0879
4,2026-02-16,3.6,1.1,6.2,0.2,8.6,Proportional (Add only),True,1.2768,0.327,6.1,69.597,0.0876
4,2026-02-23,3.6,0.8,6.6,0.0,8.8,Proportional (Add only),True,1.2768,0.327,6.1,69.597,0.0876
4,2026-03-02,3.6,0.7,6.6,0.0,9.3,Proportional (Add only),True,1.2768,0.327,6.1,69.564,0.0877
4,2026-03-09,3.6,0.3,7.2,0.0,9.7,Proportional (Add only),True,1.2768,0.327,6.1,69.67,0.0876
4,2026-03-16,3.6,0.1,7.5,0.0,9.6,Proportional (Add only),True,1.2768,0.327,6.1,69.766,0.0874
4,2026-03-23,3.6,0.0,7.8,0.0,10.7,Proportional (Add only),True,1.2768,0.327,6.1,69.636,0.0876
4,2026-03-30,3.6,0.0,7.7,0.0,10.7,Proportional (Add only),True,1.2768,0.327,6.1,69.839,0.0873
4,2026-04-06,3.6,0.0,8.2,0.0,11.4,Proportional (Add only),True,1.2768,0.327,6.1,69.93599999999999,0.0872
4,2026-04-13,3.6,0.0,8.4,0.0,11.8,Proportional (Add only),True,1.2768,0.327,6.1,69.93599999999999,0.0872
4,2026-04-20,3.6,0.0,8.5,0.0,12.3,Proportional (Add only),True,1.2768,0.327,6.1,70.00800000000001,0.0871
