week_start,actual,type,fitted
2023-01-02,75.0,train,
2023-01-09,110.0,train,
2023-01-16,57.0,train,
2023-01-23,53.0,train,
2023-01-30,44.0,train,
2023-02-06,41.0,train,
2023-02-13,40.0,train,
2023-02-20,46.0,train,
2023-02-27,51.0,train,
2023-03-06,47.0,train,
2023-03-13,106.0,train,
2023-03-20,57.0,train,
2023-03-27,57.0,train,
2023-04-03,37.0,train,
2023-04-10,71.0,train,
2023-04-17,53.0,train,
2023-04-24,53.0,train,
2023-05-01,43.0,train,
2023-05-08,46.0,train,
2023-05-15,47.0,train,
2023-05-22,47.0,train,
2023-05-29,31.0,train,
2023-06-05,49.0,train,
2023-06-12,41.0,train,
2023-06-19,51.0,train,
2023-06-26,54.0,train,
2023-07-03,35.0,train,
2023-07-10,48.0,train,
2023-07-17,43.0,train,
2023-07-24,49.0,train,
2023-07-31,62.0,train,
2023-08-07,62.0,train,
2023-08-14,47.0,train,
2023-08-21,54.0,train,
2023-08-28,44.0,train,
2023-09-04,38.0,train,
2023-09-11,61.0,train,
2023-09-18,44.0,train,
2023-09-25,41.0,train,
2023-10-02,49.0,train,
2023-10-09,45.0,train,
2023-10-16,46.0,train,
2023-10-23,40.0,train,
2023-10-30,53.0,train,
2023-11-06,40.0,train,
2023-11-13,50.0,train,
2023-11-20,42.0,train,
2023-11-27,51.0,train,
2023-12-04,83.0,train,
2023-12-11,66.0,train,
2023-12-18,62.0,train,
2023-12-25,33.0,train,
2024-01-01,58.0,train,
2024-01-08,48.0,train,
2024-01-15,50.0,train,
2024-01-22,83.0,train,
2024-01-29,75.0,train,
2024-02-05,95.0,train,
2024-02-12,79.0,train,
2024-02-19,93.0,train,
2024-02-26,77.0,train,
2024-03-04,96.0,train,
2024-03-11,59.0,train,
2024-03-18,102.0,train,
2024-03-25,67.0,train,
2024-04-01,71.0,train,
2024-04-08,78.0,train,
2024-04-15,80.0,train,
2024-04-22,62.0,train,
2024-04-29,77.0,train,
2024-05-06,65.0,train,
2024-05-13,84.0,train,
2024-05-20,82.0,train,
2024-05-27,76.0,train,
2024-06-03,74.0,train,
2024-06-10,73.0,train,
2024-06-17,82.0,train,
2024-06-24,42.0,train,
2024-07-01,58.0,train,
2024-07-08,77.0,train,
2024-07-15,88.0,train,
2024-07-22,68.0,train,
2024-07-29,72.0,train,
2024-08-05,57.0,train,
2024-08-12,69.0,train,
2024-08-19,53.0,train,
2024-08-26,88.0,train,
2024-09-02,69.0,train,
2024-09-09,121.0,train,
2024-09-16,105.0,train,
2024-09-23,93.0,train,
2024-09-30,92.0,train,
2024-10-07,83.0,train,
2024-10-14,73.0,train,
2024-10-21,57.0,train,
2024-10-28,74.0,train,
2024-11-04,70.0,train,
2024-11-11,51.0,train,
2024-11-18,163.0,train,
2024-11-25,65.0,train,
2024-12-02,70.0,train,
2024-12-09,103.0,train,
2024-12-16,95.0,train,
2024-12-23,51.0,train,
2024-12-30,58.0,train,
2025-01-06,97.0,train,
2025-01-13,76.0,train,
2025-01-20,61.0,train,
2025-01-27,66.0,train,
2025-02-03,135.0,train,
2025-02-10,76.0,train,
2025-02-17,83.0,train,
2025-02-24,69.0,train,
2025-03-03,60.0,train,
2025-03-10,57.0,train,
2025-03-17,69.0,train,
2025-03-24,82.0,train,
2025-03-31,60.0,train,
2025-04-07,60.0,train,
2025-04-14,57.0,train,
2025-04-21,67.0,train,
2025-04-28,57.0,train,
2025-05-05,69.0,train,
2025-05-12,71.0,train,
2025-05-19,71.0,train,
2025-05-26,73.0,train,
2025-06-02,101.0,train,
2025-06-09,90.0,train,
2025-06-16,80.0,train,
2025-06-23,77.0,train,
2025-06-30,63.0,train,
2025-07-07,72.0,train,
2025-07-14,62.0,train,
2025-07-21,67.0,train,
2025-07-28,87.0,train,
2025-08-04,75.0,train,
2025-08-11,59.0,train,
2025-08-18,80.0,train,
2025-08-25,76.0,train,
2025-09-01,60.0,train,
2025-09-08,64.0,train,
2025-09-15,59.0,train,
2025-09-22,83.0,train,
2025-09-29,94.0,train,
2025-10-06,77.0,train,
2025-10-13,59.0,train,
2025-10-20,63.0,train,
2025-10-27,42.0,train,
2025-11-03,74.0,test,67.2
2025-11-10,72.0,test,67.2
2025-11-17,54.0,test,67.2
2025-11-24,44.0,test,67.2
2025-12-01,54.0,test,67.2
2025-12-08,67.0,test,67.2
2025-12-15,58.0,test,67.2
2025-12-22,38.0,test,67.2
2025-12-29,68.0,test,67.2
2026-01-05,67.0,test,67.2
2026-01-12,77.0,test,67.2
2026-01-19,62.0,test,67.2
2026-01-26,58.0,test,67.2
