class,precision,recall,f1_score,support
Graffiti/Grafiti,0.9753086419753086,0.7745098039215687,0.8633879781420765,102.0
Illegal Dumping,0.7262411347517731,0.9516728624535316,0.8238133547868061,538.0
Medians,0.8181818181818182,0.33962264150943394,0.48,53.0
Open Space,0.6923076923076923,0.225,0.33962264150943394,40.0
Other (Unlisted Request for Public Works),0.38461538461538464,0.07246376811594203,0.12195121951219512,69.0
Parks and Playgrounds,0.6631016042780749,0.7005649717514124,0.6813186813186813,177.0
Pothole/Road Condition,0.7604562737642585,0.851063829787234,0.8032128514056225,235.0
Report a Broken Parking Meter,1.0,0.2,0.3333333333333333,10.0
Report an Abandoned Vehicle,0.7,0.4375,0.5384615384615384,16.0
Roadside Vegetation,0.71875,0.41818181818181815,0.5287356321839081,55.0
Sidewalk Repair Program,0.0,0.0,0.0,11.0
Sidewalks,0.6888888888888889,0.5210084033613446,0.5933014354066986,119.0
Stormwater Drainage,0.7338709677419355,0.8666666666666667,0.7947598253275109,210.0
Street Light,0.92,0.575,0.7076923076923077,40.0
Street Sign and Markings,0.6729559748427673,0.7086092715231788,0.6903225806451613,151.0
Street Sweeping,0.8235294117647058,0.5833333333333334,0.6829268292682927,72.0
Suggested Improvement/Change,0.0,0.0,0.0,16.0
"To report a parking violation ( red zone, fire lane etc)",0.7142857142857143,0.22727272727272727,0.3448275862068966,22.0
Traffic/ Traffic Signal,0.7,0.711864406779661,0.7058823529411765,118.0
Trees,0.7658536585365854,0.8770949720670391,0.8177083333333334,179.0
accuracy,0.7348858038513211,0.7348858038513211,0.7348858038513211,0.7348858038513211
macro avg,0.6729173582967454,0.5020714738362446,0.5425629240737486,2233.0
weighted avg,0.7227068147373025,0.7348858038513211,0.710060003081036,2233.0
