category,top_terms
Graffiti/Grafiti,graffiti(11.205) | graffiti on(4.715) | gang(3.345) | on(2.970) | tagged(2.284) | painted(2.122) | wall(1.948) | grafitti(1.886) | spray(1.876) | building(1.642)
Illegal Dumping,dumped(8.858) | trash(6.673) | dumping(5.719) | garbage(4.616) | mattress(4.322) | furniture(4.133) | couch(3.402) | chair(3.202) | items(3.048) | dump(2.750)
Medians,median(6.308) | the median(3.153) | weeds(2.613) | overgrown(2.283) | medians(2.246) | bushes(1.566) | trees(1.461) | weed(1.381) | please(1.345) | in median(1.342)
Open Space,open(3.328) | fire road(3.144) | open space(3.090) | fire(2.967) | space(2.909) | grass(2.583) | gate(1.841) | road(1.478) | tree(1.280) | dead(1.272)
Other (Unlisted Request for Public Works),leaking(1.854) | being(1.833) | contractor(1.475) | permit(1.428) | public(1.407) | test(1.376) | wire(1.322) | leak(1.299) | water leak(1.291) | sewage(1.233)
Parks and Playgrounds,park(7.349) | playground(4.339) | the park(3.423) | fountain(2.158) | garden(2.006) | play(1.912) | bathroom(1.901) | gate(1.856) | field(1.832) | water(1.782)
Pothole/Road Condition,pothole(8.429) | potholes(6.169) | road(4.958) | hole(3.991) | pot(3.096) | asphalt(3.096) | pavement(2.859) | the road(2.660) | deep(2.606) | patch(2.230)
Report a Broken Parking Meter,meter(5.715) | screen(1.831) | credit(1.826) | card(1.702) | parking meter(1.647) | time(1.604) | credit card(1.265) | broken(1.175) | parking(1.172) | quarters(1.153)
Report an Abandoned Vehicle,abandoned(3.753) | days(2.625) | plate(2.403) | parked(2.365) | vehicle(2.255) | van(1.884) | not moved(1.862) | for(1.740) | ford(1.733) | for over(1.598)
Roadside Vegetation,vegetation(5.170) | weeds(3.733) | overgrown(3.153) | fire(2.433) | fire hazard(2.085) | along(1.777) | blocking sidewalk(1.705) | the weeds(1.665) | bushes(1.644) | weeds and(1.297)
Sidewalk Repair Program,sidewalk(3.350) | repair(2.355) | inspection(1.788) | pre(1.473) | program(1.472) | sidewalk repair(1.435) | tree roots(1.356) | roots(1.263) | to repair(1.186) | notice to(1.117)
Sidewalks,sidewalk(8.569) | the sidewalk(3.413) | sidewalks(2.504) | tripping(2.490) | trip(2.305) | tripping hazard(1.966) | hazard(1.923) | repair(1.907) | tripped(1.905) | cones(1.897)
Stormwater Drainage,drain(7.645) | water(5.883) | storm(5.109) | drainage(4.838) | clogged(4.474) | flooding(3.921) | drains(3.610) | culvert(3.543) | storm drain(3.004) | ditch(2.706)
Street Light,light(6.720) | street light(4.676) | lights(3.846) | streetlight(3.591) | street(2.159) | bright(1.913) | out(1.848) | light is(1.804) | streetlights(1.787) | the light(1.626)
Street Sign and Markings,sign(8.483) | red(3.957) | signs(3.882) | parking(2.861) | no(2.595) | painted(2.435) | faded(2.396) | street sign(2.389) | missing(2.227) | repainted(2.191)
Street Sweeping,sweeping(6.366) | glass(4.715) | street sweeping(4.129) | street(3.977) | leaves(3.415) | sweeper(3.415) | sweep(3.289) | leaf(3.218) | street sweeper(2.183) | cleaning(2.116)
Suggested Improvement/Change,test(1.511) | improved(0.883) | we are(0.784) | drainage(0.724) | would(0.709) | any(0.689) | are(0.671) | request(0.667) | we(0.622) | to(0.618)
"To report a parking violation ( red zone, fire lane etc)",parked(5.288) | blocking(2.832) | zone(2.806) | parking(2.581) | parked in(2.221) | car(2.200) | red zone(2.185) | red(2.101) | vehicle(1.968) | daylighting(1.803)
Traffic/ Traffic Signal,traffic(5.999) | signal(3.900) | light(3.787) | speed(3.261) | pedestrian(2.869) | green(2.652) | cars(2.619) | lights(2.265) | cross(2.153) | turn(2.066)
Trees,tree(11.828) | trees(7.556) | branch(4.507) | branches(3.691) | the tree(2.952) | tree is(2.763) | down(2.316) | property(2.149) | fallen(2.056) | large(2.050)
